Decade,Genre,Count,Decade_Total,Percentage,Growth
1920.0,Biography & Autobiography,2,53,3.77,100.0
1940.0,Biography & Autobiography,3,81,3.7,50.0
1950.0,Biography & Autobiography,24,266,9.02,700.0
1960.0,Biography & Autobiography,36,540,6.67,50.0
1970.0,Biography & Autobiography,70,1160,6.03,94.4
1980.0,Biography & Autobiography,258,4067,6.34,268.6
1990.0,Biography & Autobiography,1210,17756,6.81,369.0
2000.0,Biography & Autobiography,2705,34768,7.78,123.6
2010.0,Biography & Autobiography,1696,23950,7.08,-37.3
2020.0,Biography & Autobiography,303,3811,7.95,-82.1
1930.0,Business & Economics,3,51,5.88,200.0
1950.0,Business & Economics,8,266,3.01,166.7
1960.0,Business & Economics,19,540,3.52,137.5
1970.0,Business & Economics,38,1160,3.28,100.0
1980.0,Business & Economics,166,4067,4.08,336.8
1990.0,Business & Economics,1233,17756,6.94,642.8
2000.0,Business & Economics,2645,34768,7.61,114.5
2010.0,Business & Economics,1330,23950,5.55,-49.7
2020.0,Business & Economics,177,3811,4.64,-86.7
1970.0,Computers,9,1160,0.78,800.0
1980.0,Computers,51,4067,1.25,466.7
1990.0,Computers,1072,17756,6.04,2002.0
2000.0,Computers,2576,34768,7.41,140.3
2010.0,Computers,547,23950,2.28,-78.8
2020.0,Computers,52,3811,1.36,-90.5
1910.0,Cooking,3,36,8.33,50.0
1920.0,Cooking,4,53,7.55,33.3
1930.0,Cooking,1,51,1.96,-75.0
1940.0,Cooking,2,81,2.47,100.0
1950.0,Cooking,13,266,4.89,550.0
1960.0,Cooking,37,540,6.85,184.6
1970.0,Cooking,90,1160,7.76,143.2
1980.0,Cooking,191,4067,4.7,112.2
1990.0,Cooking,641,17756,3.61,235.6
2000.0,Cooking,931,34768,2.68,45.2
2010.0,Cooking,591,23950,2.47,-36.5
2020.0,Cooking,71,3811,1.86,-88.0
1910.0,Education,12,36,33.33,71.4
1920.0,Education,4,53,7.55,-66.7
1930.0,Education,3,51,5.88,-25.0
1940.0,Education,5,81,6.17,66.7
1950.0,Education,6,266,2.26,20.0
1960.0,Education,24,540,4.44,300.0
1970.0,Education,35,1160,3.02,45.8
1980.0,Education,89,4067,2.19,154.3
1990.0,Education,614,17756,3.46,589.9
2000.0,Education,1142,34768,3.28,86.0
2010.0,Education,590,23950,2.46,-48.3
2020.0,Education,81,3811,2.13,-86.3
1960.0,Family & Relationships,2,540,0.37,100.0
1970.0,Family & Relationships,7,1160,0.6,250.0
1980.0,Family & Relationships,70,4067,1.72,900.0
1990.0,Family & Relationships,505,17756,2.84,621.4
2000.0,Family & Relationships,1163,34768,3.35,130.3
2010.0,Family & Relationships,372,23950,1.55,-68.0
2020.0,Family & Relationships,52,3811,1.36,-86.0
1910.0,Fiction,3,36,8.33,-25.0
1920.0,Fiction,17,53,32.08,466.7
1930.0,Fiction,20,51,39.22,17.6
1940.0,Fiction,12,81,14.81,-40.0
1950.0,Fiction,48,266,18.05,300.0
1960.0,Fiction,96,540,17.78,100.0
1970.0,Fiction,201,1160,17.33,109.4
1980.0,Fiction,1025,4067,25.2,410.0
1990.0,Fiction,3437,17756,19.36,235.3
2000.0,Fiction,8502,34768,24.45,147.4
2010.0,Fiction,8362,23950,34.91,-1.6
2020.0,Fiction,1609,3811,42.22,-80.8
1910.0,History,8,36,22.22,100.0
1920.0,History,5,53,9.43,-37.5
1930.0,History,7,51,13.73,40.0
1940.0,History,16,81,19.75,128.6
1950.0,History,48,266,18.05,200.0
1960.0,History,113,540,20.93,135.4
1970.0,History,203,1160,17.5,79.6
1980.0,History,546,4067,13.43,169.0
1990.0,History,2026,17756,11.41,271.1
2000.0,History,3557,34768,10.23,75.6
2010.0,History,2460,23950,10.27,-30.8
2020.0,History,326,3811,8.55,-86.7
1920.0,Juvenile Fiction,9,53,16.98,125.0
1930.0,Juvenile Fiction,4,51,7.84,-55.6
1940.0,Juvenile Fiction,18,81,22.22,350.0
1950.0,Juvenile Fiction,23,266,8.65,27.8
1960.0,Juvenile Fiction,54,540,10.0,134.8
1970.0,Juvenile Fiction,62,1160,5.34,14.8
1980.0,Juvenile Fiction,206,4067,5.07,232.3
1990.0,Juvenile Fiction,1217,17756,6.85,490.8
2000.0,Juvenile Fiction,2579,34768,7.42,111.9
2010.0,Juvenile Fiction,2134,23950,8.91,-17.3
2020.0,Juvenile Fiction,322,3811,8.45,-84.9
1910.0,Juvenile Nonfiction,1,36,2.78,-50.0
1950.0,Juvenile Nonfiction,7,266,2.63,600.0
1960.0,Juvenile Nonfiction,15,540,2.78,114.3
1970.0,Juvenile Nonfiction,45,1160,3.88,200.0
1980.0,Juvenile Nonfiction,150,4067,3.69,233.3
1990.0,Juvenile Nonfiction,883,17756,4.97,488.7
2000.0,Juvenile Nonfiction,1485,34768,4.27,68.2
2010.0,Juvenile Nonfiction,712,23950,2.97,-52.1
2020.0,Juvenile Nonfiction,138,3811,3.62,-80.6
1950.0,Literary Criticism,9,266,3.38,800.0
1960.0,Literary Criticism,21,540,3.89,133.3
1970.0,Literary Criticism,42,1160,3.62,100.0
1980.0,Literary Criticism,179,4067,4.4,326.2
1990.0,Literary Criticism,608,17756,3.42,239.7
2000.0,Literary Criticism,702,34768,2.02,15.5
2010.0,Literary Criticism,488,23950,2.04,-30.5
2020.0,Literary Criticism,85,3811,2.23,-82.6
1910.0,Religion,2,36,5.56,-33.3
1920.0,Religion,7,53,13.21,250.0
1930.0,Religion,5,51,9.8,-28.6
1940.0,Religion,13,81,16.05,160.0
1950.0,Religion,42,266,15.79,223.1
1960.0,Religion,66,540,12.22,57.1
1970.0,Religion,187,1160,16.12,183.3
1980.0,Religion,583,4067,14.33,211.8
1990.0,Religion,2125,17756,11.97,264.5
2000.0,Religion,3764,34768,10.83,77.1
2010.0,Religion,2276,23950,9.5,-39.5
2020.0,Religion,330,3811,8.66,-85.5
1910.0,Science,3,36,8.33,200.0
1920.0,Science,2,53,3.77,-33.3
1930.0,Science,3,51,5.88,50.0
1940.0,Science,8,81,9.88,166.7
1950.0,Science,26,266,9.77,225.0
1960.0,Science,29,540,5.37,11.5
1970.0,Science,64,1160,5.52,120.7
1980.0,Science,178,4067,4.38,178.1
1990.0,Science,546,17756,3.08,206.7
2000.0,Science,827,34768,2.38,51.5
2010.0,Science,832,23950,3.47,0.6
2020.0,Science,95,3811,2.49,-88.6
1920.0,Social Science,2,53,3.77,100.0
1930.0,Social Science,1,51,1.96,-50.0
1940.0,Social Science,2,81,2.47,100.0
1950.0,Social Science,9,266,3.38,350.0
1960.0,Social Science,22,540,4.07,144.4
1970.0,Social Science,84,1160,7.24,281.8
1980.0,Social Science,260,4067,6.39,209.5
1990.0,Social Science,1068,17756,6.01,310.8
2000.0,Social Science,1198,34768,3.45,12.2
2010.0,Social Science,1054,23950,4.4,-12.0
2020.0,Social Science,124,3811,3.25,-88.2
1950.0,Sports & Recreation,2,266,0.75,100.0
1960.0,Sports & Recreation,5,540,0.93,150.0
1970.0,Sports & Recreation,23,1160,1.98,360.0
1980.0,Sports & Recreation,115,4067,2.83,400.0
1990.0,Sports & Recreation,571,17756,3.22,396.5
2000.0,Sports & Recreation,992,34768,2.85,73.7
2010.0,Sports & Recreation,506,23950,2.11,-49.0
2020.0,Sports & Recreation,46,3811,1.21,-90.9
