Age,Count
5.0,26
6.0,18
7.0,27
8.0,54
9.0,62
10.0,84
11.0,121
12.0,192
13.0,885
14.0,1962
15.0,2383
16.0,2570
17.0,3044
18.0,3703
19.0,3950
20.0,4056
21.0,4438
22.0,4714
23.0,5456
24.0,5687
25.0,5618
26.0,5547
27.0,5383
28.0,5347
29.0,5293
30.0,4778
31.0,4665
32.0,4781
33.0,4699
34.0,4656
35.0,4194
36.0,3896
37.0,3582
38.0,3404
39.0,3234
40.0,3142
41.0,2919
42.0,2758
43.0,2816
44.0,2745
45.0,2518
46.0,2526
47.0,2512
48.0,2303
49.0,2461
50.0,2340
51.0,2203
52.0,2077
53.0,2072
54.0,2140
55.0,1885
56.0,1692
57.0,1878
58.0,1319
59.0,1205
60.0,1125
61.0,1035
62.0,882
63.0,792
64.0,680
65.0,593
66.0,545
67.0,465
68.0,426
69.0,373
70.0,315
71.0,286
72.0,223
73.0,200
74.0,170
75.0,119
76.0,114
77.0,82
78.0,73
79.0,62
80.0,48
81.0,46
82.0,25
83.0,24
84.0,22
85.0,17
86.0,7
87.0,6
88.0,2
89.0,2
90.0,5
91.0,13
92.0,11
93.0,15
94.0,5
95.0,1
96.0,3
97.0,3
98.0,2
99.0,4
100.0,7
