User-ID,total_ratings,avg_rating,rating_std,unique_books,Age,Country,Age_filled,has_age
8,7,5.571,0.787,7,,Unknown,34.0,False
14,3,5.333,0.577,3,,Unknown,34.0,False
17,4,5.25,1.708,4,,Unknown,34.0,False
53,4,7.0,3.162,4,,Unknown,34.0,False
69,3,5.667,2.517,3,,Unknown,34.0,False
92,3,8.333,1.528,3,20.0,Unknown,20.0,True
99,8,7.625,2.326,8,42.0,Unknown,42.0,True
114,8,8.125,1.553,8,57.0,Unknown,57.0,True
160,6,7.333,0.816,6,20.0,Unknown,20.0,True
165,3,6.0,2.646,3,62.0,Unknown,62.0,True
183,91,8.0,1.054,91,27.0,Unknown,27.0,True
232,5,6.2,1.483,5,16.0,Unknown,16.0,True
242,33,8.545,1.583,33,37.0,Unknown,37.0,True
243,18,7.278,1.708,18,,Unknown,34.0,False
244,8,7.625,1.188,8,,Unknown,34.0,False
254,58,7.776,1.499,58,24.0,Unknown,24.0,True
272,4,7.25,0.5,4,20.0,Unknown,20.0,True
300,8,5.5,1.414,8,,Unknown,34.0,False
362,4,6.5,1.732,4,63.0,Unknown,63.0,True
383,8,7.5,2.673,8,,Unknown,34.0,False
387,5,7.2,3.271,5,17.0,Unknown,17.0,True
388,17,7.294,2.024,17,35.0,Unknown,35.0,True
392,21,6.81,1.806,21,44.0,Unknown,44.0,True
408,5,7.6,1.14,5,17.0,Unknown,17.0,True
424,6,6.5,1.049,6,29.0,Unknown,29.0,True
440,3,8.333,1.528,3,16.0,Unknown,16.0,True
441,3,6.667,1.528,3,,Unknown,34.0,False
444,4,7.25,0.5,4,40.0,Unknown,40.0,True
446,12,8.0,2.412,12,,Unknown,34.0,False
460,5,7.2,2.588,5,,Unknown,34.0,False
472,6,7.833,2.229,6,,Unknown,34.0,False
476,3,7.0,1.732,3,,Unknown,34.0,False
486,3,7.667,0.577,3,31.0,Unknown,31.0,True
487,6,7.333,1.033,6,,Unknown,34.0,False
503,15,9.4,1.056,15,40.0,Unknown,40.0,True
505,11,7.909,0.701,11,51.0,Unknown,51.0,True
507,37,8.0,1.291,37,,Unknown,34.0,False
566,6,6.0,2.191,6,,Unknown,34.0,False
567,5,9.0,1.0,5,,Unknown,34.0,False
595,6,8.667,1.033,6,17.0,Unknown,17.0,True
596,3,9.0,1.0,3,49.0,Unknown,49.0,True
619,4,7.5,1.291,4,,Unknown,34.0,False
625,10,8.8,1.398,10,41.0,Unknown,41.0,True
626,6,8.667,1.366,6,41.0,Unknown,41.0,True
638,54,9.278,0.899,54,20.0,Unknown,20.0,True
640,3,7.0,1.732,3,,Unknown,34.0,False
643,70,7.643,1.362,70,23.0,Unknown,23.0,True
651,28,6.714,1.384,28,26.0,Unknown,26.0,True
695,4,6.75,1.258,4,,Unknown,34.0,False
707,3,6.0,1.732,3,,Unknown,34.0,False
709,26,7.462,2.47,26,14.0,Unknown,14.0,True
712,4,6.25,1.258,4,29.0,Unknown,29.0,True
726,4,8.75,2.5,4,31.0,Unknown,31.0,True
735,11,8.0,1.789,11,29.0,Unknown,29.0,True
741,16,8.75,1.949,16,16.0,Unknown,16.0,True
744,3,7.667,0.577,3,48.0,Unknown,48.0,True
746,4,7.25,1.5,4,36.0,Unknown,36.0,True
753,16,9.75,0.683,16,,Unknown,34.0,False
758,3,9.0,1.0,3,,Unknown,34.0,False
763,4,9.0,1.155,4,,Unknown,34.0,False
776,6,8.5,1.049,6,23.0,Unknown,23.0,True
805,23,8.391,1.469,23,34.0,Unknown,34.0,True
819,4,5.5,1.0,4,,Unknown,34.0,False
827,4,8.5,1.732,4,,Unknown,34.0,False
834,8,4.125,1.642,8,17.0,Unknown,17.0,True
843,4,8.0,0.0,4,25.0,Unknown,25.0,True
850,27,6.556,2.19,27,22.0,Unknown,22.0,True
853,5,7.8,1.643,5,24.0,Unknown,24.0,True
882,42,8.619,1.899,42,23.0,Unknown,23.0,True
899,5,6.0,2.915,5,23.0,Unknown,23.0,True
900,12,5.5,1.168,12,25.0,Unknown,25.0,True
901,14,8.786,0.802,14,21.0,Unknown,21.0,True
914,6,8.0,2.449,6,51.0,Unknown,51.0,True
